Captain_ID,Home_Base,Legs
86,DUS,"[3504619329, 3504638662, 3504638802, 3504638553, 3504638670]"
82,DUS,[3504638669]
455,CGN,"[3504618788, 3504619306, 3504619307, 3504638352, 3504638349, 3504638842]"
432,HAM,"[3504619083, 3504638347, 3504638824, 3504638827]"
508,BER,"[3504618789, 3504638106, 3504638725, 3504638681]"
26,DUS,"[3504619458, 3504619283, 3504638498, 3504638361, 3504638582]"
50,DUS,"[3504638663, 3504658118, 3504658269, 3504676965, 3504676768, 3504676815]"
465,CGN,"[3504618806, 3504619371, 3504638577, 3504638584, 3504638515]"
560,DUS,[3504638661]
465,CGN,"[3504618861, 3504638823, 3504638818, 3504638154]"
499,HAM,"[3504638550, 3504638803]"
522,CGN,"[3504638151, 3504638813]"
37,DUS,"[3504619456, 3504619459, 3504638766, 3504638767, 3504638704]"
178,HAM,"[3504619278, 3504619455, 3504638760, 3504638761]"
857,DUS,"[3504619073, 3504619068, 3504638832, 3504638833]"
507,HAM,"[3504619213, 3504638513]"
603,DUS,"[3504619073, 3504619078, 3504638534, 3504638535]"
62,DUS,"[3504619460, 3504638807]"
543,HAJ,"[3504638309, 3504638737]"
882,DUS,"[3504638808, 3504658250, 3504658187, 3504676881, 3504676972, 3504676973]"
267,STR,"[3504619003, 3504638846, 3504638796, 3504638549]"
941,DUS,"[3504638689, 3504638692]"
37,DUS,"[3504638346, 3504657813, 3504658181, 3504658182, 3504658247, 3504676267, 3504676875, 3505309658, 3505309695, 3505309696]"
942,DUS,[3504638790]
547,STR,[3504638193]
788,CGN,"[3504618825, 3504618966, 3504638195, 3504638717, 3504638843, 3504658281, 3504658225, 3504658226]"
313,BER,"[3504619320, 3504618824, 3504638834, 3504638835, 3504638788, 3504658234]"
390,DUS,"[3504638694, 3504638697]"
493,DUS,"[3504619366, 3504619369, 3504619370, 3504638723, 3504638794, 3504638142]"
162,CGN,"[3504618814, 3504618815, 3504619416, 3504638412, 3504638321]"
6,HAM,"[3504638556, 3504638188]"
269,HAM,"[3504619288, 3504638561]"
10,DUS,"[3504619350, 3504638695, 3504638714]"
351,DUS,"[3504619474, 3504618996, 3504638197, 3504638198]"
139,STR,"[3504618945, 3504618947, 3504638177, 3504638548, 3504638259]"
466,CGN,"[3504619452, 3504619279, 3504638566, 3504638567]"
312,DUS,"[3504619466, 3504638817, 3504638738, 3504638587]"
351,DUS,"[3504638822, 3504638563]"
741,DUS,[3504638710]
14,STR,"[3504618952, 3504618953, 3504638221, 3504638222]"
744,HAM,"[3504619215, 3504638585, 3504638593, 3504658180, 3504658151]"
945,DUS,"[3504619454, 3504638245, 3504638223, 3504658056, 3504657659]"
627,HAM,"[3504619223, 3504619365, 3504638768, 3504658054, 3504658061, 3504658240]"
864,STR,"[3504618964, 3504619407, 3504638847, 3504638848]"
629,DUS,"[3504619352, 3504619353, 3504638752, 3504638614, 3504638646, 3504657629, 3504657588]"
26,DUS,"[3504619478, 3504638829, 3504638732, 3504638598]"
197,HAM,"[3504619272, 3504619425, 3504638736]"
820,STR,"[3504618977, 3504618979, 3504618956, 3504638741, 3504638673]"
581,DUS,"[3504619450, 3504638239, 3504638171, 3504638607, 3504658110, 3504657653]"
873,STR,"[3504618950, 3504619465, 3504619412, 3504638206, 3504638292, 3504638295]"
596,HAM,"[3504619268, 3504619413, 3504619343, 3504638682, 3504638804, 3504638656]"
867,STR,"[3504618980, 3504618837, 3504638810, 3504638278]"
183,BER,"[3504618984, 3504619238, 3504638564, 3504638565]"
15,BER,"[3504618984, 3504618985, 3504638183, 3504638108, 3504638109, 3504638110]"
685,DUS,"[3504619341, 3504619344, 3504619486, 3504638164]"
863,DUS,"[3504619484, 3504619000, 3504638175, 3504638476]"
895,HAM,"[3504619221, 3504619222, 3504619332, 3504638787, 3504638786, 3504638698]"
193,DUS,"[3504619364, 3504618955, 3504638217, 3504638533]"
201,DUS,"[3504619378, 3504638733]"
561,BER,"[3504638659, 3504638660]"
801,CGN,"[3504618834, 3504618835, 3504638665, 3504638666, 3504638845]"
652,STR,"[3504619005, 3504619006, 3504638225]"
561,BER,"[3504619482, 3504619483, 3504638780, 3504638781]"
346,STR,"[3504619007, 3504619008, 3504638205, 3504638126]"
394,BER,"[3504619376, 3504619377, 3504638748, 3504638749, 3504638720]"
583,DUS,"[3504619418, 3504619419, 3504638762, 3504638763]"
109,DUS,"[3504619480, 3504638831, 3504638728, 3504638729]"
45,DUS,"[3504619489, 3504619002, 3504638191, 3504638192, 3504638173]"
374,STR,"[3504618936, 3504619010, 3504638319, 3504638602]"
616,DUS,"[3504619408, 3504619323, 3504638578, 3504638165]"
950,STR,"[3504618977, 3504619434, 3504638722, 3504638519]"
49,DUS,"[3504619380, 3504619381, 3504619374, 3504638204, 3504638258, 3504657773, 3504657652]"
635,CGN,"[3504619432, 3504638226]"
34,HAM,"[3504619223, 3504619224, 'DH_3504638542', 3504638543]"
931,HAM,"[3504619216, 3504619220, 3504638532, 3504638212]"
593,DUS,"[3504619428, 3504619429, 3504619430, 3504638539]"
745,BER,"[3504619298, 3504619299, 3504638576, 3504638730, 3504658178, 3504658245, 3504658068, 3504657952]"
628,STR,"[3504618974, 3504618975, 3504638227, 3504638775]"
815,HAM,"[3504619247, 3504618967, 3504638167, 3504638362]"
271,DUS,"[3504619470, 3504619471, 3504619386, 3504638312, 3504638323, 3504658276]"
88,STR,"[3504638227, 3504761353]"
828,DUS,"[3504619400, 3504619401, 3504619362, 3504638196, 3504638275]"
148,BER,"[3504619310, 3504619311, 3504638601, 3504638214]"
880,CGN,"[3504618830, 3504618831, 3504638770, 3504638626]"
581,DUS,"[3504619384, 3504619385, 3504619486, 3504638162]"
14,STR,"[3504618954, 3504638719]"
23,HAM,"[3504619229, 3504619231, 3504638446, 3504638213, 3504638208]"
433,STR,"[3504618946, 3504638190]"
400,DUS,"[3504619436, 3504619437, 3504638783, 3504638782]"
510,DUS,"[3504619440, 3504619441, 3504638443, 3504638531]"
595,HAM,"[3504619292, 3504619016]"
801,CGN,"[3504618792, 3504618793, 3504638155, 3504638283, 3504638169]"
741,DUS,"[3504619426, 3504619427, 3504638756, 3504638757]"
712,DUS,"[3504619349, 3504638693]"
344,BER,"[3504619495, 3504638326]"
703,CGN,"[3504618794, 3504618795, 3504638145, 3504638801, 3504638708, 3504658162, 3504658209, 3504657704]"
869,DUS,"[3504619394, 3504619395, 3504638800, 3504638551]"
101,HAM,"[3504619276, 3504619277, 3504638562, 3504658260, 3504658205, 3504657605]"
529,HAM,"[3504619209, 3504638680, 3504638830, 3504658270, 3504658133, 3504657962]"
140,HAM,"[3504619209, 3504638363, 3504638169]"
199,BER,"[3504619314, 3504618961, 3504638189, 3504638707, 3504638691, 3504658143, 3504657848, 3504658050]"
627,HAM,"[3504619259, 3504619266, 3504638546, 3504638797]"
909,DUS,"[3504619422, 3504619424, 3504638772, 3504638773]"
142,HAM,"[3504619240, 3504619257, 3504638558, 3504638272]"
921,STR,"[3504618965, 3504619192, 3504638325, 3504658082, 3504658069, 3504658070]"
817,DUS,"[3504619497, 3504619498, 3504638679, 3504657976, 3504657925, 3504658090]"
98,CGN,"[3504619021, 3504619025, 3504638327, 3504638328, 3504657801, 3504657792, 3504657727]"
173,HAM,"[3504619274, 3504638224]"
