pairing_id,base,n_legs,cost,start_min,end_min,route,legs
1,BER,4,1428.2,380.0,2250.0,BER->EBL [TUR] EBL->BER [LAY] HAJ->AGP [TUR] AGP->BER,3505309598|3505309599|3505310106|3505310286
2,HAM,6,1385.0,425.0,2480.0,HAM->EBL [TUR] EBL->DUS [LAY] DUS->NAP [TUR] NAP->DUS [TUR] DUS->ZRH [TUR] ZRH->HAM,3505309568|3505309770|3505310447|3505310448|3505310424|3505310258
3,DUS,4,1320.0,400.0,2295.0,DUS->TLV [TUR] TLV->DUS [LAY] DUS->JTR [TUR] JTR->DUS,3505309766|3505309767|3505310404|3505310405
4,DUS,6,1300.0,430.0,2530.0,DUS->OLB [TUR] OLB->HAM [TUR] HAM->AGP [LAY] AGP->HAJ [TUR] HAJ->FCO [TUR] FCO->DUS,3505309751|3505309565|3505309530|3505310107|3505310112|3505310456
5,DUS,4,1300.0,740.0,2765.0,DUS->ACE [TUR] ACE->DUS [LAY] DUS->CHQ [TUR] CHQ->DUS,3505309667|3505309668|3505310408|3505310409
6,STR,6,1270.0,440.0,2835.0,STR->CTA [TUR] CTA->STR [TUR] STR->LIS [LAY] LIS->STR [TUR] STR->OTP [TUR] OTP->STR,3505309396|3505309397|3505309376|3505310069|3505310042|3505310043
7,DUS,6,1265.0,450.0,2565.0,DUS->BCN [TUR] BCN->HAM [TUR] HAM->IBZ [LAY] IBZ->DUS [TUR] DUS->PMI [TUR] PMI->DUS,3505309637|3505309527|3505309522|3505310357|3505310384|3505310385
8,HAM,5,1250.0,410.0,2495.0,HAM->FUE [TUR] FUE->HAM [LAY] HAM->OLB [TUR] OLB->STR [TUR] STR->HAM,3505309528|3505309529|3505310267|3505310093|3505310208
9,DUS,5,1242.8,425.0,2410.0,DUS->EBL [TUR] EBL->HAM [LAY] HAM->MUC [TRA] STR->BER [TUR] BER->DUS,3505309768|3505309569|3505310211|3505310022|3505310277
10,DUS,4,1225.0,690.0,2390.0,DUS->TFS [TUR] TFS->DUS [LAY] DUS->IBZ [TUR] IBZ->DUS,3505309669|3505309670|3505310358|3505310359
11,BER,6,1225.0,465.0,2270.0,BER->NCE [TUR] NCE->BER [TUR] BER->SPU [TUR] SPU->BER [LAY] BER->RHO [TUR] RHO->BER,3505309580|3505309581|3505309596|3505309597|3505310299|3505310300
12,STR,4,1215.0,410.0,2130.0,STR->EBL [TUR] EBL->STR [LAY] STR->KVA [TUR] KVA->STR,3505309344|3505309345|3505310076|3505310077
13,DUS,4,1215.0,445.0,2190.0,DUS->FUE [TUR] FUE->DUS [LAY] DUS->ALC [TUR] ALC->DUS,3505309665|3505309666|3505310364|3505310365
14,STR,5,1215.0,390.0,2445.0,STR->HAM [TUR] HAM->SPU [TUR] SPU->STR [LAY] STR->TFS [TUR] TFS->STR,3505309334|3505309570|3505309409|3505310052|3505310053
15,DUS,6,1205.0,590.0,2595.0,DUS->PMI [TUR] PMI->CGN [TUR] CGN->LHR [LAY] LHR->DUS [TUR] DUS->JMK [TUR] JMK->DUS,3505309676|3505309281|3505309268|3505310349|3505310402|3505310403
16,STR,8,1190.0,710.0,2825.0,STR->NAP [TUR] NAP->STR [TUR] STR->BUD [TUR] BUD->DUS [LAY] DUS->VIE [TUR] VIE->HAM [TUR] HAM->MAN [TUR] MAN->STR,3505309404|3505309405|3505309394|3505309734|3505310418|3505310254|3505310261|3505310039
17,DUS,4,1185.0,375.0,2225.0,DUS->FNC [TUR] FNC->DUS [LAY] DUS->SKG [TUR] SKG->DUS,3505309689|3505309690|3505310400|3505310401
18,NUE,4,1180.0,935.0,2985.0,NUE->HRG [TUR] HRG->NUE [LAY] NUE->PMI [TUR] PMI->NUE,3505309426|3505309427|3505310184|3505310183
19,NUE,5,1179.8,550.0,2585.0,NUE->PMI [TUR] PMI->HAJ [LAY] HAM->IBZ [TUR] IBZ->HAM [TUR] HAM->NUE,3505309478|3505309486|3505310227|3505310228|3505310209
20,DUS,6,1170.0,400.0,2665.0,DUS->MAN [TUR] MAN->DUS [TUR] DUS->NCE [LAY] NCE->DUS [TUR] DUS->HER [TUR] HER->DUS,3505309623|3505309624|3505309633|3505310339|3505310151|3505310152
21,DUS,6,1166.6,780.0,2450.0,DUS->VIE [TUR] VIE->CGN [TUR] CGN->MXP [TUR] MXP->CGN [LAY] CGN->LIS [TUR] LIS->CGN,3505309719|3505309307|3505309316|3505309317|3505309992|3505309993
22,DUS,6,1160.0,470.0,2275.0,DUS->FCO [TUR] FCO->DUS [TUR] DUS->MUC [TUR] MUC->HAM [LAY] HAM->FAO [TUR] FAO->DUS,3505309755|3505309756|3505309610|3505309507|3505310249|3505310399
23,DUS,6,1155.0,380.0,2765.0,DUS->CFU [TUR] CFU->DUS [TUR] DUS->DUB [LAY] DUB->DUS [TUR] DUS->BCN [TUR] BCN->DUS,3505309694|3505309693|3505309631|3505310337|3505310346|3505310347
24,BER,6,1150.0,870.0,2835.0,BER->DUS [TUR] DUS->PMI [TUR] PMI->DUS [LAY] DUS->BER [TUR] BER->KGS [TUR] KGS->BER,3505309607|3505309683|3505309684|3505310278|3505310297|3505310298
25,DUS,4,1145.0,395.0,2215.0,DUS->RHO [TUR] RHO->DUS [LAY] DUS->AGP [TUR] AGP->DUS,3505309697|3505309698|3505310366|3505310367
26,DUS,5,1135.0,615.0,2450.0,DUS->HAM [TUR] HAM->HER [TUR] HER->HAM [LAY] HAM->PMI [TUR] PMI->DUS,3505309604|3505309546|3505309547|3505310243|3505310381
