leg_id,origin,dest,dep_min,arr_min,reason
3505309386,STR,OPO,380.0,545.0,not_selected
3505309614,DUS,GOT,410.0,500.0,not_selected
3505309743,DUS,MXP,410.0,500.0,not_selected
3505309629,DUS,EDI,415.0,525.0,not_selected
3505309440,DUS,SZG,530.0,605.0,not_selected
3505309612,DUS,ARN,585.0,700.0,not_selected
3505309312,CGN,VCE,610.0,700.0,not_selected
3505309300,CGN,SKG,640.0,790.0,not_selected
3505309515,NCE,HAM,805.0,925.0,not_selected
3505309365,IBZ,STR,855.0,985.0,not_selected
3505309567,FCO,HAM,885.0,1020.0,not_selected
3505309708,HER,DUS,1005.0,1210.0,not_selected
3505309377,LIS,STR,1070.0,1240.0,not_selected
3505309531,AGP,HAM,1135.0,1330.0,not_selected
3505309740,VCE,DUS,1160.0,1255.0,not_selected
3505310285,BER,AGP,1800.0,2015.0,not_selected
3505310356,DUS,IBZ,1810.0,1965.0,not_selected
3505310255,HAM,ZRH,1860.0,1945.0,not_selected
3505310398,DUS,FAO,1860.0,2050.0,not_selected
3505310410,DUS,ATH,1860.0,2045.0,not_selected
3505310438,DUS,CTA,1880.0,2040.0,not_selected
3505310344,DUS,BCN,1900.0,2030.0,not_selected
3505310071,FAO,STR,2010.0,2185.0,not_selected
3505310068,STR,LIS,2050.0,2235.0,not_selected
3505310233,HAM,AGP,2065.0,2275.0,not_selected
3505310072,STR,HER,2100.0,2270.0,not_selected
3505310220,HAM,NCE,2115.0,2240.0,not_selected
3505310155,HAM,HER,2205.0,2405.0,not_selected
3505310257,HAM,ZRH,2270.0,2355.0,not_selected
3505310441,DUS,MXP,2305.0,2395.0,not_selected
3505310234,AGP,HAM,2315.0,2510.0,not_selected
3505310327,BHX,DUS,2515.0,2590.0,not_selected
3505310225,HAM,LHR,2525.0,2625.0,not_selected
3505310105,TFS,HAJ,2570.0,2860.0,not_selected
3505310087,DUB,STR,2685.0,2805.0,not_selected
3505309326,CGN,PSA,365.0,465.0,structurally_impossible
3505309512,HAM,CDG,365.0,455.0,structurally_impossible
3505309439,SZG,DUS,425.0,495.0,structurally_impossible
3505309613,ARN,DUS,425.0,545.0,structurally_impossible
3505309747,DUS,FLR,430.0,535.0,structurally_impossible
3505309455,ARN,BER,435.0,530.0,structurally_impossible
3505309313,VCE,CGN,480.0,570.0,structurally_impossible
3505309309,ZRH,CGN,485.0,550.0,structurally_impossible
3505309399,MXP,STR,495.0,560.0,structurally_impossible
3505309513,CDG,HAM,495.0,585.0,structurally_impossible
3505309327,PSA,CGN,505.0,605.0,structurally_impossible
3505309389,VIE,STR,510.0,585.0,structurally_impossible
3505309381,SKG,STR,525.0,665.0,structurally_impossible
3505309620,BHX,DUS,525.0,600.0,structurally_impossible
3505309579,NCL,BER,535.0,670.0,structurally_impossible
3505309615,GOT,DUS,535.0,625.0,structurally_impossible
3505309272,BCN,CGN,540.0,680.0,structurally_impossible
3505309357,BCN,STR,540.0,660.0,structurally_impossible
3505309730,PRG,DUS,540.0,615.0,structurally_impossible
3505309765,SPU,DUS,540.0,655.0,structurally_impossible
3505309644,LHR,DUS,545.0,625.0,structurally_impossible
3505309731,BUD,DUS,545.0,655.0,structurally_impossible
3505309630,EDI,DUS,565.0,660.0,structurally_impossible
3505309748,FLR,DUS,575.0,685.0,structurally_impossible
3505309387,OPO,STR,585.0,740.0,structurally_impossible
3505309452,BER,GRZ,595.0,690.0,structurally_impossible
3505309752,OLB,DUS,595.0,720.0,structurally_impossible
3505309263,NCE,CGN,635.0,735.0,structurally_impossible
3505309715,DUS,GDN,680.0,775.0,structurally_impossible
3505309457,STR,LDE,720.0,840.0,structurally_impossible
3505309451,GRZ,BER,730.0,825.0,structurally_impossible
3505309361,VLC,STR,775.0,910.0,structurally_impossible
3505309738,BGY,DUS,780.0,870.0,structurally_impossible
3505309716,GDN,DUS,815.0,915.0,structurally_impossible
3505309656,BIO,DUS,870.0,990.0,structurally_impossible
3505309720,VIE,DUS,915.0,1010.0,structurally_impossible
3505309714,KRK,DUS,935.0,1040.0,structurally_impossible
3505309726,ZRH,DUS,940.0,1015.0,structurally_impossible
3505309632,DUB,DUS,955.0,1055.0,structurally_impossible
3505309628,EDI,DUS,965.0,1060.0,structurally_impossible
3505309626,MAN,DUS,980.0,1070.0,structurally_impossible
3505309601,GWT,DUS,995.0,1055.0,structurally_impossible
3505309746,MXP,DUS,995.0,1090.0,structurally_impossible
3505309762,DUS,LJU,1050.0,1145.0,structurally_impossible
3505309509,ARN,HAM,1075.0,1165.0,structurally_impossible
3505309402,STR,BRI,1080.0,1190.0,structurally_impossible
3505309443,SZG,HAM,1085.0,1160.0,structurally_impossible
3505309736,OTP,DUS,1125.0,1280.0,structurally_impossible
3505309441,SZG,BER,1150.0,1215.0,structurally_impossible
3505309561,CTA,HAM,1165.0,1335.0,structurally_impossible
3505309764,LJU,DUS,1185.0,1285.0,structurally_impossible
3505309395,BUD,STR,1190.0,1280.0,structurally_impossible
3505309761,TIA,DUS,1195.0,1340.0,structurally_impossible
3505309750,BLQ,DUS,1210.0,1310.0,structurally_impossible
3505309383,ATH,STR,1225.0,1395.0,structurally_impossible
