pairing_id,captain_id,base,n_legs,cost_eur,start_min,end_min,legs
1,UNASSIGNED,DUS,6,2497.6,450.0,5665.0,3504619298|3504619212|3504638776|3504638224|3504676980|3504676981
2,UNASSIGNED,DUS,6,2347.0,4690.0,8550.0,3504676799|3504676801|3505309426|3505309427|3505310064|3505310065
3,UNASSIGNED,DUS,7,2261.4,4695.0,8200.0,3504676196|3504676197|3505309342|3505309343|3505310212|3505310220|3505309959
4,262,DUS,6,2177.8,415.0,4160.0,3504619310|3504619311|3504638584|3504638515|3504658189|3504658190
5,597,DUS,6,2158.8,6140.0,9585.0,3505309532|3505309675|3505310118|3505310119|3505311148|3505311149
6,UNASSIGNED,DUS,6,2093.6,6065.0,9335.0,3505309294|3505309295|3505310052|3505310053|3505310824|3505310737
7,UNASSIGNED,DUS,7,2084.6,445.0,5785.0,3504619227|3504619228|3504657937|3504657791|3504658084|3504676611|3504676226
8,621,DUS,7,2043.8,370.0,3580.0,3504618977|3504618979|3504619338|3504638659|3504638660|3504657677|3504658166
9,824,DUS,6,2027.0,6185.0,10045.0,3505309568|3505309770|3505310334|3505309954|3505310713|3505310715
10,RESERVE,DUS,6,2020.4,450.0,5540.0,3504619304|3504619305|3504658059|3504658060|3504658033|3504676369
11,UNASSIGNED,DUS,8,2009.8,380.0,5300.0,3504618972|3504618973|3504618941|3504638713|3504638756|3504638757|3504676882|3504676883
12,UNASSIGNED,DUS,6,2004.4,3615.0,8560.0,3504657665|3504657666|3504676785|3504676580|3505310455|3505310017
13,742,DUS,6,2003.4,825.0,4130.0,3504619028|3504619033|3504638843|3504658281|3504658225|3504658226
14,876,DUS,6,1995.2,350.0,4175.0,3504618974|3504619275|3504638744|3504638745|3504658209|3504658210
15,RESERVE,DUS,7,1990.8,1290.0,5640.0,3504619349|3504638693|3504658081|3504657668|3504676657|3504676749|3504676750
16,RESERVE,DUS,6,1989.6,425.0,5095.0,3504618957|3504618959|3504638762|3504638763|3504676876|3504676877
17,320,DUS,6,1979.0,415.0,3580.0,3504619394|3504618793|3504638203|3504638589|3504657725|3504657726
18,10,DUS,6,1978.8,385.0,4165.0,3504619143|3504619145|3504638476|3504638201|3504658096|3504657653
19,883,DUS,8,1977.0,445.0,3900.0,3504619392|3504619393|3504638516|3504638182|3504638183|3504638184|3504762518|3504657615
20,769,DUS,5,1972.0,420.0,4190.0,3504618792|3504619395|3504638325|3504657668|3504657589
21,751,DUS,7,1963.4,375.0,3670.0,3504618936|3504618940|3504638487|3504638450|3504638475|3504657799|3504657800
22,UNASSIGNED,DUS,6,1959.0,4685.0,7830.0,3504676715|3504676716|3505309598|3505309599|3505310303|3505310256
23,276,DUS,6,1922.0,440.0,4200.0,3504619396|3504619397|3504638410|3504638320|3504658195|3504658196
24,UNASSIGNED,DUS,6,1899.2,825.0,4995.0,3504619011|3504619387|3504638098|3504638099|3504676322|3504676324
25,42,DUS,7,1898.4,425.0,3735.0,3504619438|3504619439|3504638572|3504638213|3504638409|3504657793|3504657794
26,RESERVE,DUS,6,1898.4,1810.0,6450.0,3504638207|3504638210|3504657667|3504658285|3505309278|3505309425
27,503,DUS,6,1888.0,195.0,3695.0,3504619194|3504619020|3504638847|3504638848|3504658217|3504658218
28,UNASSIGNED,DUS,7,1861.2,6115.0,9995.0,3505309542|3505309543|3505310207|3505310295|3505310895|3505311139|3505311138
29,320,DUS,6,1846.4,6485.0,9640.0,3505309282|3505309369|3505310078|3505310079|3505311112|3505311113
30,168,DUS,9,1845.6,595.0,4190.0,3504619423|3504619425|3504618808|3504638723|3504638327|3504638328|3504658201|3504658100|3504658128
31,UNASSIGNED,DUS,7,1840.8,6175.0,9270.0,3505309536|3505309587|3505310229|3505310230|3505310214|3505310772|3505311028
32,330,DUS,6,1834.8,935.0,4190.0,3504619386|3504618961|3504638764|3504638765|3504658213|3504658214
33,821,DUS,7,1834.8,5025.0,8440.0,3504676363|3504676364|3505309385|3505309384|3505310024|3505310253|3505310421
34,UNASSIGNED,DUS,6,1825.6,3270.0,8095.0,3504658197|3504657867|3504676787|3504676788|3505310158|3505310157
35,UNASSIGNED,DUS,6,1822.0,760.0,4950.0,3504619294|3504619487|3504638586|3504638587|3504676392|3504676740
36,UNASSIGNED,DUS,6,1807.0,3630.0,7970.0,3504658135|3504658136|3505309273|3505309527|3505310344|3505310345
37,RESERVE,DUS,8,1803.4,2020.0,7035.0,3504638679|3504638361|3504638582|3504676776|3504676416|3504676417|3505309735|3505309355
38,UNASSIGNED,DUS,6,1800.2,4735.0,9345.0,3504676763|3504676764|3505309538|3505309375|3505310814|3505310815
39,380,DUS,7,1795.4,435.0,3910.0,3504619225|3504619226|3504638446|3504638364|3504638361|3504658109|3504658204
40,RESERVE,DUS,7,1773.2,1845.0,6815.0,3504638556|3504638188|3504657789|3504657790|3505309396|3505309397|3505309611
41,903,DUS,6,1764.8,1820.0,5660.0,3504638195|3504638523|3504658045|3504658198|3504676978|3504676979
42,116,DUS,6,1764.8,6180.0,9990.0,3505309643|3505309349|3505310404|3505310405|3505311214|3505311216
43,UNASSIGNED,DUS,7,1760.2,5145.0,9685.0,3504676731|3504676732|3505309337|3505309374|3505309469|3505310962|3505310829
44,UNASSIGNED,DUS,6,1757.4,560.0,5320.0,3504619318|3504619411|3504638842|3504658277|3504676974|3504676975
45,271,DUS,9,1753.4,735.0,4190.0,3504618999|3504619295|3504619215|3504638585|3504638174|3504657835|3504658048|3504657978|3504658232
46,696,DUS,8,1747.6,305.0,4220.0,3504619013|3504619245|3504638566|3504638567|3504638534|3504657849|3504657596|3504657597
47,UNASSIGNED,DUS,6,1745.4,360.0,5410.0,3504619229|3504619231|3504638538|3504638539|3504676721|3504676894
48,UNASSIGNED,DUS,6,1743.2,455.0,5100.0,3504618794|3504618795|3504638161|3504638162|3504676217|3504676219
49,UNASSIGNED,DUS,5,1742.8,1155.0,5490.0,3504618920|3504657663|3504657664|3504676775|3504676543
50,RESERVE,DUS,6,1742.0,4680.0,7870.0,3504676759|3504676760|3505309528|3505309529|3505310221|3505309961
51,UNASSIGNED,DUS,8,1730.4,410.0,5080.0,3504619408|3504619409|3504619416|3504638379|3504638388|3504638216|3504676388|3504676736
52,UNASSIGNED,DUS,8,1729.2,4935.0,8425.0,3504676549|3504676366|3505309388|3505309549|3505309518|3505310222|3505310155|3505310152
53,UNASSIGNED,DUS,6,1727.0,4755.0,8035.0,3504676721|3504676380|3505309340|3505309341|3505310100|3505310019
54,82,DUS,8,1721.2,795.0,4100.0,3504618952|3504618953|3504619340|3504638646|3504638150|3504657801|3504657792|3504658134
55,42,DUS,6,1720.4,6185.0,9280.0,3505309768|3505309569|3505310239|3505310240|3505311180|3505311181
56,RESERVE,DUS,5,1717.8,1880.0,6770.0,3504638281|3504638563|3504658089|3505309766|3505309767
57,UNASSIGNED,DUS,6,1711.8,795.0,5630.0,3504618952|3504619363|3504657598|3504658036|3504676713|3504676714
58,UNASSIGNED,DUS,7,1711.4,370.0,5170.0,3504619221|3504619317|3504638532|3504638212|3504676407|3504676413|3504676819
59,UNASSIGNED,DUS,6,1709.4,5195.0,9410.0,3504676510|3504676516|3505310114|3505310242|3505310235|3505311062
60,821,DUS,7,1707.8,305.0,4220.0,3504618820|3504619248|3504638579|3504638179|3504658256|3504658185|3504658186
61,UNASSIGNED,DUS,8,1703.2,390.0,5355.0,3504618814|3504618815|3504618863|3504638569|3504638524|3504638721|3504676892|3504676224
62,929,DUS,7,1701.8,400.0,4205.0,3504618976|3504619277|3504638666|3504638752|3504638330|3504658167|3504658168
63,RESERVE,DUS,6,1700.2,4955.0,8590.0,3504676737|3504676738|3505309524|3505309275|3505310016|3505310099
64,84,DUS,6,1700.0,6135.0,9490.0,3505309689|3505309690|3505310451|3505310452|3505311166|3505311167
65,109,DUS,6,1693.6,400.0,3810.0,3504618928|3504618934|3504638576|3504638768|3504658054|3504658122
66,28,DUS,8,1691.6,600.0,3860.0,3504619472|3504619473|3504618861|3504638823|3504638754|3504638531|3504658037|3504658188
