pairing_id,base,n_legs,cost_eur,start_min,end_min,legs
1,DUS,6,2249.0,6695.0,9840.0,3505309426|3505309427|3505310028|3505310029|3505311063|3505311064
2,DUS,6,2235.0,5025.0,9685.0,3504676363|3504676364|3505310052|3505310053|3505311092|3505310990
3,DUS,6,2050.0,4720.0,8245.0,3504676392|3504676252|3505309568|3505309569|3505309962|3505310224
4,DUS,6,2019.2,3270.0,6845.0,3504657654|3504676880|3504676881|3504676772|3505309768|3505309770
5,DUS,6,1916.0,6465.0,9645.0,3505309422|3505309541|3505310273|3505310274|3505310727|3505310728
6,DUS,9,1873.0,5025.0,9785.0,3504676378|3504676380|3504676195|3505310046|3505310047|3505310034|3505311091|3505311096|3505311097
7,DUS,7,1846.0,3560.0,8440.0,3504658286|3504658287|3505309532|3505309477|3505310024|3505310253|3505310421
8,DUS,6,1829.6,5335.0,9480.0,3504676376|3504676597|3505310076|3505310077|3505311069|3505311070
9,DUS,6,1814.0,6310.0,9975.0,3505309478|3505309587|3505310158|3505310073|3505311164|3505311165
10,DUS,6,1769.4,6650.0,9595.0,3505309385|3505309384|3505310159|3505310160|3505311206|3505310875
11,DUS,6,1755.2,6840.0,9985.0,3505309558|3505309311|3505310020|3505310103|3505311212|3505311213
12,DUS,6,1745.2,6165.0,9975.0,3505309548|3505309549|3505309566|3505310099|3505311120|3505311121
13,DUS,6,1732.0,4755.0,8525.0,3504676721|3505309283|3505309292|3505309293|3505310408|3505310409
14,DUS,6,1724.6,4725.0,8270.0,3504676739|3504676740|3505309412|3505309425|3505310380|3505310292
15,DUS,4,1722.8,6450.0,9945.0,3505309669|3505309670|3505310233|3505311052
16,DUS,8,1720.2,1860.0,6820.0,3504638722|3504638105|3504638706|3504658160|3504657805|3504657613|3505309276|3505309277
17,DUS,6,1700.8,3970.0,8035.0,3504657871|3504657796|3504676611|3504676494|3505310249|3505310399
18,DUS,7,1695.8,6120.0,9465.0,3505309418|3505309419|3505310112|3505310113|3505311045|3505310788|3505310789
19,DUS,8,1685.4,5160.0,8435.0,3504676920|3504676921|3505309735|3505309355|3505310014|3505310015|3505309949|3505310314
20,DUS,6,1673.2,6875.0,9935.0,3505309374|3505309413|3505310332|3505310262|3505311009|3505311058
21,DUS,6,1660.2,2265.0,5615.0,3504638354|3504638349|3504658189|3504657666|3504676933|3504676936
22,DUS,6,1648.8,4705.0,9355.0,3504676882|3504676883|3505309631|3505309393|3505310927|3505311123
23,DUS,6,1647.6,4960.0,8745.0,3504676420|3504676423|3504676359|3505309357|3505310184|3505310183
24,DUS,6,1640.8,4955.0,8605.0,3504676737|3504676738|3505309554|3505309595|3505310067|3505309989
25,DUS,4,1634.8,8100.0,9960.0,3505310301|3505310302|3505311210|3505311211
26,DUS,6,1618.6,6485.0,9590.0,3505309546|3505309547|3505310214|3505310048|3505310817|3505310800
27,DUS,4,1615.2,6150.0,9335.0,3505309340|3505309341|3505310050|3505310994
28,DUS,7,1613.0,3525.0,6815.0,3504657606|3504658206|3504676771|3505309516|3505309265|3505309610|3505309611
29,DUS,6,1611.2,5065.0,8565.0,3504676416|3504676417|3505309694|3505309693|3505310443|3505310009
30,DUS,6,1610.2,3275.0,7075.0,3504657677|3504657678|3504676783|3504676226|3505309685|3505309688
31,DUS,5,1600.2,4065.0,8480.0,3504657659|3505309378|3505309379|3505310151|3505310407
32,DUS,8,1589.8,4720.0,8495.0,3504676947|3504676413|3504676435|3505309752|3505309695|3505309696|3505310352|3505310037
33,DUS,6,1587.4,6145.0,9580.0,3505309763|3505309329|3505310018|3505310308|3505311116|3505311117
34,DUS,8,1587.0,5025.0,8540.0,3504676854|3504676857|3505309687|3505309375|3505310002|3505310003|3505309964|3505309965
35,DUS,7,1582.2,4720.0,9600.0,3504676838|3504676839|3505309364|3505309523|3505311046|3505311071|3505311207
36,DUS,8,1582.0,6585.0,9765.0,3505309550|3505309391|3505310082|3505310001|3505310435|3505311177|3505311100|3505311101
37,DUS,6,1578.6,6390.0,9610.0,3505309664|3505310051|3505310056|3505310057|3505311067|3505310859
38,DUS,6,1571.8,4905.0,9320.0,3504676311|3505309565|3505309524|3505309359|3505311090|3505310988
39,DUS,7,1569.4,3375.0,7240.0,3504657655|3504657791|3504658084|3504676342|3504676663|3505309322|3505309323
40,DUS,6,1565.8,5380.0,9470.0,3504676755|3504676756|3505310251|3505310252|3505310155|3505311024
41,DUS,4,1556.4,6140.0,9455.0,3505309544|3505309698|3505310398|3505310879
42,DUS,6,1555.4,5005.0,9925.0,3504676616|3504676724|3505309960|3505311093|3505311208|3505310891
43,DUS,6,1553.2,3745.0,7095.0,3504658057|3504658058|3504676680|3505309336|3505309540|3505309684
44,DUS,6,1550.2,4695.0,8305.0,3504676555|3504676554|3504676844|3505309628|3505310245|3505310383
45,DUS,6,1543.2,4685.0,7765.0,3504676888|3504676889|3505309710|3505309709|3505310010|3505310011
46,DUS,6,1534.8,6200.0,9390.0,3505309396|3505309397|3505310090|3505310437|3505311102|3505311103
47,DUS,5,1533.4,3530.0,7100.0,3504658099|3504657702|3504676667|3504676787|3505309700
48,DUS,7,1529.4,4710.0,8445.0,3504676250|3504676931|3505309538|3505309373|3505310084|3505310085|3505310276
49,DUS,7,1526.4,6140.0,10045.0,3505309308|3505309593|3505310221|3505310033|3505310208|3505311021|3505310764
50,DUS,9,1524.8,1850.0,5285.0,3504638800|3504638801|3504638802|3504657629|3504657594|3504658030|3504676769|3504676866|3504676867
51,DUS,6,1523.0,3960.0,8525.0,3504657634|3504658074|3505309751|3505309417|3505310346|3505310347
