Captain_ID,Home_Base,Assigned_Pairing_ID,Start_Day,End_Day,Flying_Hours,Route_Cost
640,DUS,511,1,1,0.0,1015.0
708,DUS,515,1,1,0.0,1005.0
936,DUS,506,1,1,0.0,1041.0
309,DUS,528,1,1,0.0,960.0
380,DUS,480,1,1,0.0,1097.0
903,DUS,576,1,1,0.0,695.0
153,DUS,557,1,1,0.0,855.0
891,DUS,514,1,1,0.0,1006.6
711,DUS,488,1,1,0.0,1071.6
109,DUS,527,1,1,0.0,970.0
403,DUS,546,1,1,0.0,890.0
63,DUS,536,1,1,0.0,925.0
116,DUS,494,1,1,0.0,1057.4
352,DUS,462,1,1,0.0,1125.0
102,DUS,521,1,1,0.0,995.0
38,DUS,451,1,1,0.0,1135.4
755,DUS,491,1,1,0.0,1062.8
681,DUS,497,1,1,0.0,1054.8
297,DUS,540,1,1,0.0,911.6
825,DUS,566,1,1,0.0,830.0
835,DUS,568,1,1,0.0,815.0
329,DUS,522,1,1,0.0,989.8
198,DUS,579,1,1,0.0,605.0
821,DUS,496,1,1,0.0,1055.0
555,DUS,556,1,1,0.0,855.4
96,DUS,561,1,1,0.0,850.0
909,DUS,565,1,1,0.0,835.0
201,DUS,573,1,1,0.0,760.0
108,DUS,532,1,1,0.0,944.8
270,DUS,525,1,1,0.0,975.0
401,DUS,518,1,1,0.0,1001.6
469,DUS,543,1,1,0.0,895.0
696,DUS,529,1,1,0.0,957.0
404,DUS,585,1,1,0.0,465.0
330,DUS,503,1,1,0.0,1044.2
97,DUS,453,1,1,0.0,1134.8
320,DUS,454,1,1,0.0,1132.4
50,DUS,481,1,1,0.0,1091.8
742,DUS,452,1,1,0.0,1135.0
193,DUS,586,28,28,0.92,440.4
76,DUS,542,1,1,0.0,905.0
679,DUS,485,1,1,0.0,1081.8
743,DUS,560,1,1,0.0,850.0
857,DUS,487,1,1,0.0,1075.4
95,DUS,570,1,1,0.0,775.0
5,DUS,468,1,1,0.0,1120.0
36,DUS,502,1,1,0.0,1044.8
45,DUS,564,1,1,0.0,835.4
347,DUS,483,1,1,0.0,1086.6
49,DUS,526,1,1,0.0,973.6
929,DUS,524,1,1,0.0,975.0
941,DUS,460,1,1,0.0,1126.6
883,DUS,466,1,1,0.0,1120.4
942,DUS,523,1,1,0.0,979.8
86,DUS,499,1,1,0.0,1050.4
656,DUS,472,1,1,0.0,1110.4
944,DUS,583,1,1,0.0,530.0
510,DUS,455,1,1,0.0,1130.0
12,DUS,457,1,1,0.0,1129.6
869,DUS,563,1,1,0.0,845.0
824,DUS,508,1,1,0.0,1035.0
7,DUS,473,1,1,0.0,1110.0
945,DUS,535,1,1,0.0,926.6
42,DUS,553,1,1,0.0,869.8
73,DUS,470,1,1,0.0,1115.0
751,DUS,493,1,1,0.0,1059.8
581,DUS,501,1,1,0.0,1047.8
583,DUS,551,1,1,0.0,870.0
35,DUS,484,1,1,0.0,1083.8
863,DUS,584,1,1,0.0,520.0
57,DUS,498,1,1,0.0,1052.8
524,DUS,513,1,1,0.0,1012.4
37,DUS,533,1,1,0.0,940.0
723,DUS,465,1,1,0.0,1120.4
448,DUS,538,1,1,0.0,922.0
876,DUS,479,1,1,0.0,1097.4
312,DUS,448,1,1,0.0,1140.4
879,DUS,478,1,1,0.0,1099.2
190,DUS,575,1,1,0.0,700.4
55,DUS,571,1,1,0.0,769.8
69,DUS,545,1,1,0.0,894.6
351,DUS,562,1,1,0.0,850.0
359,DUS,555,1,1,0.0,860.0
493,DUS,486,1,1,0.0,1080.4
603,DUS,490,1,1,0.0,1065.0
817,DUS,458,1,1,0.0,1127.4
629,DUS,574,1,1,0.0,731.6
710,DUS,534,1,1,0.0,930.0
104,DUS,500,1,1,0.0,1050.0
686,DUS,510,1,1,0.0,1016.4
593,DUS,519,1,1,0.0,1000.0
721,DUS,554,1,1,0.0,860.0
623,DUS,450,1,1,0.0,1139.4
253,DUS,544,1,1,0.0,894.8
62,DUS,475,1,1,0.0,1105.0
621,DUS,552,1,1,0.0,870.0
83,DUS,459,1,1,0.0,1127.0
521,DUS,504,1,1,0.0,1042.0
276,DUS,507,1,1,0.0,1035.0
702,DUS,461,1,1,0.0,1125.4
503,DUS,569,1,1,0.0,795.0
26,DUS,467,1,1,0.0,1120.0
409,DUS,463,1,1,0.0,1125.0
882,DUS,516,1,1,0.0,1004.8
638,DUS,537,1,1,0.0,923.2
168,DUS,531,1,1,0.0,952.0
570,DUS,567,1,1,0.0,825.0
875,DUS,476,1,1,0.0,1105.0
560,DUS,477,1,1,0.0,1104.2
769,DUS,548,1,1,0.0,885.0
47,DUS,449,1,1,0.0,1140.0
20,DUS,558,1,1,0.0,855.0
11,DUS,482,1,1,0.0,1091.0
262,DUS,495,1,1,0.0,1057.4
949,DUS,530,1,1,0.0,955.0
135,DUS,549,1,1,0.0,885.0
80,DUS,456,1,1,0.0,1129.8
58,DUS,547,1,1,0.0,885.0
131,DUS,509,1,1,0.0,1020.0
509,DUS,474,1,1,0.0,1105.4
144,DUS,541,1,1,0.0,907.0
653,DUS,582,1,1,0.0,530.0
597,DUS,559,1,1,0.0,855.0
951,DUS,578,1,1,0.0,659.8
894,DUS,489,1,1,0.0,1069.8
616,DUS,539,1,1,0.0,920.0
16,DUS,517,1,1,0.0,1002.0
307,DUS,469,1,1,0.0,1119.4
182,DUS,550,1,1,0.0,880.0
692,DUS,512,1,1,0.0,1012.6
46,DUS,471,1,1,0.0,1111.6
667,DUS,492,1,1,0.0,1060.0
704,DUS,464,1,1,0.0,1121.6
663,DUS,581,1,1,0.0,530.0
828,DUS,520,1,1,0.0,997.4
84,DUS,572,1,1,0.0,764.2
82,DUS,580,1,1,0.0,575.0
191,DUS,577,1,1,0.0,684.8
714,DUS,505,1,1,0.0,1041.6
