Captain_ID,Home_Base,Assigned_Pairing_ID,Start_Day,End_Day,Flying_Hours,Route_Cost
640,DUS,11,1,1,0,1241.0
790,HAM,153,1,1,0,765.0
636,NUE,138,1,1,0,835.0
690,HAM,118,1,1,0,905.0
936,DUS,121,1,1,0,890.0
775,CGN,74,1,1,0,1008.4
309,DUS,27,1,1,0,1145.4
43,CGN,105,1,1,0,945.0
380,DUS,181,1,1,0,435.0
903,DUS,146,1,1,0,805.0
153,DUS,66,1,1,0,1025.0
891,DUS,165,1,1,0,650.0
657,CGN,33,1,1,0,1128.4
208,BER,18,1,1,0,1180.0
189,STR,69,1,1,0,1020.0
711,DUS,37,1,1,0,1115.0
724,STR,99,1,1,0,960.0
930,HAM,35,1,1,0,1120.0
870,STR,95,1,1,0,970.0
109,DUS,24,1,1,0,1160.0
403,DUS,148,1,1,0,785.0
63,DUS,4,1,1,0,1305.0
116,DUS,127,1,1,0,870.0
352,DUS,182,1,1,0,400.0
543,HAJ,163,1,1,0,665.0
38,DUS,112,1,1,0,930.0
523,HAM,123,1,1,0,885.0
937,HAJ,175,1,1,0,555.0
938,HAM,6,1,1,0,1290.0
755,DUS,110,1,1,0,930.0
335,HAM,1,1,1,0,1355.0
435,HAM,81,1,1,0,995.0
297,DUS,166,1,1,0,645.0
825,DUS,60,1,1,0,1055.0
939,CGN,52,1,1,0,1080.0
611,CGN,65,1,1,0,1035.0
689,BER,32,1,1,0,1130.0
489,STR,124,1,1,0,885.0
835,DUS,57,1,1,0,1070.0
329,DUS,125,1,1,0,880.0
198,DUS,89,1,1,0,980.0
675,CGN,167,1,1,0,640.0
251,HAM,128,1,1,0,865.0
96,DUS,143,1,1,0,815.0
421,STR,43,1,1,0,1100.0
556,CGN,28,1,1,0,1135.0
909,DUS,14,1,1,0,1197.8
838,BER,12,1,1,0,1215.0
328,CGN,115,1,1,0,915.0
661,STR,156,1,1,0,735.0
87,HAM,54,1,1,0,1075.0
108,DUS,144,1,1,0,810.0
270,DUS,147,1,1,0,805.0
584,HAM,140,1,1,0,835.0
803,STR,9,1,1,0,1275.0
854,STR,8,1,1,0,1285.0
320,DUS,29,1,1,0,1135.0
940,CGN,137,1,1,0,840.0
742,DUS,133,1,1,0,845.0
172,HAM,84,1,1,0,990.0
76,DUS,135,1,1,0,845.0
529,HAM,151,1,1,0,765.0
142,HAM,94,1,1,0,970.0
327,STR,56,1,1,0,1075.0
679,DUS,88,1,1,0,985.0
801,CGN,100,1,1,0,955.0
613,STR,152,1,1,0,765.0
743,DUS,164,1,1,0,665.0
74,HAM,3,1,1,0,1315.0
658,STR,142,1,1,0,815.0
694,BER,157,1,1,0,720.0
5,DUS,75,1,1,0,1005.0
36,DUS,159,1,1,0,710.0
45,DUS,170,1,1,0,585.0
941,DUS,50,1,1,0,1080.0
942,DUS,171,1,1,0,575.0
943,STR,61,1,1,0,1055.0
134,STR,31,1,1,0,1133.6
371,STR,149,1,1,0,785.0
656,DUS,169,1,1,0,590.0
29,STR,150,1,1,0,770.0
830,STR,120,1,1,0,895.0
944,DUS,116,1,1,0,910.0
411,HAM,101,1,1,0,950.0
610,HAM,155,1,1,0,745.0
176,STR,73,1,1,0,1010.0
115,STR,90,1,1,0,980.0
341,BER,168,1,1,0,630.0
590,HAM,21,1,1,0,1170.0
945,DUS,158,1,1,0,715.0
42,DUS,44,1,1,0,1100.0
73,DUS,46,1,1,0,1100.0
861,CGN,177,1,1,0,520.0
751,DUS,20,1,1,0,1170.0
866,NUE,17,1,1,0,1180.0
581,DUS,174,1,1,0,560.0
432,HAM,104,1,1,0,945.0
583,DUS,132,1,1,0,850.0
946,BER,67,1,1,0,1025.0
199,BER,40,1,1,0,1110.0
730,HAM,59,1,1,0,1055.0
22,STR,131,1,1,0,855.0
35,DUS,22,1,1,0,1166.6
719,CGN,49,1,1,0,1086.6
863,DUS,13,1,1,0,1201.6
57,DUS,126,1,1,0,875.0
64,STR,139,1,1,0,835.0
890,STR,62,1,1,0,1055.0
190,DUS,178,1,1,0,515.0
55,DUS,23,1,1,0,1165.0
505,STR,51,1,1,0,1080.0
69,DUS,5,1,1,0,1300.0
359,DUS,39,1,1,0,1110.0
493,DUS,79,1,1,0,1000.0
603,DUS,92,1,1,0,975.0
864,STR,80,1,1,0,996.6
181,HAM,130,1,1,0,865.0
253,DUS,114,1,1,0,920.0
62,DUS,25,1,1,0,1160.0
83,DUS,83,1,1,0,990.0
521,DUS,98,1,1,0,967.0
276,DUS,2,1,1,0,1330.0
3,HAM,134,1,1,0,845.0
702,DUS,173,1,1,0,565.0
715,BER,70,1,1,0,1015.0
834,HAM,145,1,1,0,807.8
506,STR,42,1,1,0,1105.0
674,BER,48,1,1,0,1087.0
503,DUS,30,1,1,0,1135.0
882,DUS,97,1,1,0,970.0
638,DUS,64,1,1,0,1035.0
200,STR,71,1,1,0,1015.0
570,DUS,160,1,1,0,695.0
875,DUS,122,1,1,0,885.0
947,CGN,19,1,1,0,1180.0
454,CGN,106,1,1,0,941.6
47,DUS,179,1,1,0,515.0
948,MUC,109,1,1,0,935.0
683,STR,26,1,1,0,1150.0
20,DUS,58,1,1,0,1070.0
11,DUS,53,1,1,0,1075.0
949,DUS,7,1,1,0,1290.0
950,STR,96,1,1,0,970.0
135,DUS,176,1,1,0,530.0
80,DUS,76,1,1,0,1005.0
334,CGN,47,1,1,0,1090.0
561,BER,113,1,1,0,925.0
569,STR,172,1,1,0,570.0
442,STR,102,1,1,0,950.0
245,CGN,68,1,1,0,1020.0
921,STR,108,1,1,0,935.0
144,DUS,86,1,1,0,985.0
192,HAM,77,1,1,0,1001.8
455,CGN,180,1,1,0,480.0
788,CGN,161,1,1,0,680.0
951,DUS,117,1,1,0,910.0
267,STR,72,1,1,0,1010.0
391,BER,119,1,1,0,897.4
845,BER,78,1,1,0,1000.0
567,CGN,103,1,1,0,950.0
374,STR,141,1,1,0,830.0
449,HAM,38,1,1,0,1115.0
692,DUS,34,1,1,0,1125.0
46,DUS,10,1,1,0,1242.8
667,DUS,45,1,1,0,1100.0
699,BER,41,1,1,0,1105.0
94,STR,63,1,1,0,1045.0
6,HAM,154,1,1,0,760.0
82,DUS,162,1,1,0,676.0
93,BER,36,1,1,0,1120.0
191,DUS,111,1,1,0,930.0
194,STR,55,1,1,0,1075.0
460,HAM,91,1,1,0,980.0
175,HAM,107,1,1,0,935.0
714,DUS,136,1,1,0,845.0
